True_index,Sales
7,0.0
19,3792.528564453125
31,5999.9580078125
45,3365.519287109375
56,3458.130126953125
57,5154.134765625
61,5802.33349609375
63,7374.8349609375
79,5025.9541015625
81,9996.388671875
84,3322.170654296875
86,6347.25439453125
90,4949.75244140625
96,5490.9951171875
105,0.0
108,5646.859375
124,15507.5458984375
126,6056.26513671875
133,6902.6806640625
146,5686.19775390625
151,0.0
160,8066.78466796875
164,7301.8310546875
167,10917.791015625
190,0.0
194,6807.79443359375
206,11920.3681640625
214,0.0
217,10071.55078125
220,9189.8564453125
221,6627.7275390625
225,6614.18701171875
226,3878.3447265625
232,8306.3857421875
250,5469.99365234375
264,6065.0546875
269,7330.0595703125
271,6227.0234375
280,8370.287109375
281,0.0
284,3651.0703125
302,7853.46337890625
323,5818.677734375
327,0.0
336,5054.45849609375
351,4358.25390625
377,6102.1611328125
382,4515.1513671875
388,7961.0966796875
392,0.0
402,0.0
408,6604.85400390625
427,6766.71630859375
466,0.0
469,0.0
472,0.0
477,0.0
508,5135.81201171875
513,11443.14453125
516,7009.0546875
530,4374.44189453125
558,3302.063720703125
576,13910.67578125
588,7403.97705078125
595,6323.822265625
600,5052.58544921875
601,8756.3388671875
609,5086.9765625
612,5437.4619140625
615,7152.7001953125
625,5423.57275390625
632,0.0
645,5248.35400390625
666,6128.7861328125
668,6540.63330078125
672,9837.5400390625
699,16925.888671875
717,6007.44677734375
737,4750.669921875
744,7638.2705078125
747,16048.072265625
764,7488.69091796875
775,6687.19873046875
788,0.0
795,8269.703125
802,9366.2470703125
811,8900.2744140625
840,9496.1396484375
849,11349.7431640625
859,7922.57421875
871,0.0
872,12598.83984375
881,4276.46240234375
883,7156.5849609375
890,5014.08056640625
896,6653.05810546875
902,0.0
905,9486.908203125
921,9126.4287109375
967,9154.6396484375
973,5553.056640625
1001,3754.185791015625
1016,0.0
1021,10086.091796875
1026,4825.640625
1030,7059.5888671875
1044,5687.4228515625
1063,10158.9814453125
1067,8371.009765625
1075,8636.2646484375
1086,0.0
1097,4769.0537109375
1117,13097.8369140625
1122,4679.56494140625
1125,8169.703125
1129,5016.43701171875
1141,5514.94287109375
1149,0.0
1151,4517.28955078125
1159,6409.5517578125
1173,6672.78173828125
1184,0.0
1193,5551.6962890625
1241,5269.54736328125
1249,0.0
1250,7257.16455078125
1261,0.0
1273,6923.32373046875
1282,0.0
1296,7888.740234375
1309,2133.613037109375
1332,5151.2998046875
1336,6924.50732421875
1357,5309.6201171875
1372,6792.8076171875
1374,6126.0654296875
1378,9709.3642578125
1379,4096.29248046875
1384,9076.791015625
1394,5789.4453125
1398,2879.8544921875
1399,4541.73095703125
1403,7158.61083984375
1409,10281.287109375
1424,4297.3046875
1430,6309.02294921875
1432,4943.4873046875
1448,5569.04248046875
1451,10411.6826171875
1452,7440.7958984375
1467,0.0
1470,5166.55126953125
1481,10057.734375
1523,2871.746826171875
1527,5016.921875
1546,4987.12744140625
1547,11830.3837890625
1567,3704.3984375
1592,8863.8251953125
1597,11794.140625
1601,0.0
1603,9918.5703125
1640,5876.9462890625
1646,0.0
1651,0.0
1652,9986.4228515625
1670,0.0
1677,0.0
1691,5706.9345703125
1704,1630.798828125
1707,11163.97265625
1718,5391.42626953125
1721,5999.87353515625
1733,0.0
1737,8456.0380859375
1748,4514.1005859375
1776,5369.5595703125
1804,6728.421875
1821,10030.8583984375
1839,4656.6953125
1845,7306.79443359375
1853,5814.2763671875
1888,4082.3681640625
1895,5786.392578125
1899,6949.6337890625
1923,3603.471435546875
1934,9699.3154296875
1937,10008.0830078125
1940,5475.88330078125
1953,0.0
1968,3779.62548828125
1975,0.0
1981,6662.19677734375
1984,5577.76611328125
1997,11633.5185546875
2024,9731.5615234375
2032,8969.98046875
2036,13839.6044921875
2051,3793.628662109375
2061,0.0
2082,5486.56005859375
2093,0.0
2096,6664.7392578125
2107,5452.19189453125
2115,5795.0263671875
2117,3812.254150390625
2137,2730.064697265625
2156,7634.63037109375
2160,0.0
2186,8601.7412109375
2188,7892.4013671875
2204,8162.95849609375
2217,5704.2001953125
2224,5002.7734375
2228,11542.990234375
2233,12048.552734375
2246,3533.20556640625
2254,12036.4208984375
2275,8001.54638671875
2281,6252.8369140625
2287,10432.314453125
2300,8361.2607421875
2305,9693.3896484375
2306,5334.73193359375
2313,3849.850830078125
2315,5870.501953125
2320,4000.427001953125
2322,5288.525390625
2324,4596.8642578125
2328,9338.265625
2335,6208.8759765625
2340,3178.06396484375
2352,0.0
2381,6493.69873046875
2383,5518.03759765625
2408,3928.77490234375
2422,6010.26318359375
2424,3913.90380859375
2425,0.0
2428,4077.736328125
2435,5353.4033203125
2456,7305.31884765625
2471,0.0
2474,5045.046875
2493,4833.193359375
2495,7329.1279296875
2501,0.0
2511,2660.505615234375
2519,3437.13134765625
2522,8054.30419921875
2526,5923.98046875
2527,12227.0
2539,7281.58642578125
2550,7296.7197265625
2562,0.0
2572,7906.6416015625
2573,6368.9365234375
2576,8694.68359375
2579,4852.56689453125
2580,5547.43359375
2594,5116.44384765625
2600,8541.5625
2602,10360.6318359375
2621,0.0
2641,0.0
2651,6885.8701171875
2669,7159.544921875
2686,9596.9482421875
2694,6156.0048828125
2699,5555.0439453125
2700,5065.13330078125
2747,7416.52685546875
2759,7585.759765625
2763,6707.3466796875
2794,0.0
2797,0.0
2812,12389.462890625
2815,6156.705078125
2824,0.0
2829,6811.9833984375
2830,8920.033203125
2852,5878.28369140625
2855,8383.9296875
2858,0.0
2870,8723.1396484375
2881,6002.033203125
2884,3860.742919921875
2887,7044.126953125
2890,9429.9443359375
2897,14773.2998046875
2909,4099.74462890625
2917,9811.3251953125
2929,3723.922607421875
2937,6090.384765625
2962,7088.08447265625
2985,7323.8642578125
2997,8243.1474609375
3007,4216.34765625
3015,6408.81787109375
3020,3665.885986328125
3030,6644.46484375
3035,6087.25537109375
3048,7083.5537109375
3075,7169.7080078125
3079,7036.66162109375
3087,4910.09033203125
3091,9313.30078125
3103,7599.798828125
3107,6361.7431640625
3120,0.0
3126,8989.853515625
3127,14186.4912109375
3131,6494.2646484375
3142,7829.3916015625
3143,0.0
3146,6302.12548828125
3157,7067.55517578125
3162,6654.232421875
3165,7695.9990234375
3168,0.0
3170,0.0
3172,7121.8623046875
3175,4863.3046875
3179,5221.501953125
3188,8293.62109375
3194,0.0
3200,5796.24951171875
3209,4476.72412109375
3231,11816.1015625
3235,3943.80419921875
3238,6905.984375
3276,9168.3193359375
3283,0.0
3286,5020.0732421875
3306,0.0
3328,10880.2412109375
3340,7257.2099609375
3347,0.0
3351,5714.5009765625
3357,7664.27490234375
3364,4667.19140625
3374,6731.71044921875
3402,8429.3037109375
3407,0.0
3420,7624.46484375
3434,6113.54541015625
3436,4853.90185546875
3442,8135.60009765625
3448,5934.03173828125
3456,4577.125
3467,5094.87548828125
3473,4792.029296875
3486,6858.0107421875
3496,4134.7744140625
3509,6178.4453125
3517,6497.90185546875
3519,7690.30810546875
3521,5067.6162109375
3534,1635.9346923828125
3539,3359.117431640625
3551,11240.353515625
3556,3768.15771484375
3559,10343.5263671875
3573,6927.015625
3600,8151.98779296875
3602,2282.72900390625
3617,4580.65673828125
3635,7837.13134765625
3641,8073.98046875
3648,7862.32080078125
3676,0.0
3694,0.0
3707,6732.56103515625
3708,4218.728515625
3716,7303.96875
3734,0.0
3738,8442.2138671875
3744,7405.7734375
3746,7934.01171875
3749,10906.3193359375
3777,4453.4248046875
3794,10929.15625
3804,4263.24951171875
3813,22072.314453125
3828,5521.71240234375
3840,8901.79296875
3843,5942.2412109375
3844,0.0
3856,8619.98046875
3864,5669.5830078125
3865,4232.134765625
3891,5577.56640625
3893,5177.01025390625
3896,4825.2119140625
3910,6478.423828125
3920,6329.21875
3922,6121.14990234375
3929,0.0
3931,0.0
3932,3421.2392578125
3941,4367.6806640625
3946,4170.564453125
3966,4764.400390625
3975,7941.98095703125
3977,0.0
3986,4339.72705078125
3989,22919.6484375
3993,6039.55126953125
3996,4162.28515625
4016,28157.876953125
4020,6889.43505859375
4023,0.0
4031,7879.95654296875
4040,7974.04541015625
4041,0.0
4042,0.0
4052,4810.87646484375
4067,0.0
4071,9363.9873046875
4104,6281.44873046875
4110,2990.024169921875
4122,9174.66015625
4127,8717.8681640625
4129,6988.24267578125
4130,0.0
4162,3616.773193359375
4180,4145.13427734375
4181,7303.34619140625
4190,4267.8798828125
4195,0.0
4196,3803.42138671875
4215,4178.43896484375
4233,0.0
4236,0.0
4240,4170.86474609375
4258,4941.4580078125
4264,4975.9326171875
4268,9061.73828125
4269,7491.44091796875
4286,7345.2373046875
4300,8814.78125
4303,0.0
4320,11909.3203125
4323,6758.96533203125
4327,12689.2998046875
4339,4927.71826171875
4354,5535.783203125
4366,3954.041259765625
4371,5935.01171875
4388,7293.32763671875
4422,6700.18603515625
4433,0.0
4434,6836.19140625
4436,9314.1630859375
4452,10746.43359375
4474,5386.11181640625
4482,3919.2314453125
4495,0.0
4521,9224.7607421875
4552,3459.12353515625
4555,8068.634765625
4556,5769.13671875
4560,7271.27587890625
4577,7397.298828125
4586,3720.383544921875
4589,5335.45556640625
4618,0.0
4620,6967.94580078125
4642,5789.02734375
4654,5918.57666015625
4674,9861.548828125
4684,3350.631103515625
4710,7883.556640625
4711,6218.16357421875
4717,5585.8203125
4736,4446.07958984375
4745,5755.14794921875
4747,7144.18994140625
4767,5441.54833984375
4774,9350.6142578125
4790,4802.04833984375
4792,7710.81982421875
4796,9189.8583984375
